Date;Year;Month;nMonth;Doy;Site;Species;Tree_number;Leaf_type;Leaf_number;CCI;Unique_tree_ID;Unique_tree_ID_number
2019-07-24;2019;Jul;7;205;KS;Betula;1;shadow;8;14.3;KSBetula1;1
2019-07-24;2019;Jul;7;205;KS;Betula;1;shadow;9;12.3;KSBetula1;1
2019-07-24;2019;Jul;7;205;KS;Betula;1;shadow;10;11.9;KSBetula1;1
2019-08-07;2019;Aug;8;219;KS;Betula;1;sun;1;15.6;KSBetula1;1
2019-08-07;2019;Aug;8;219;KS;Betula;1;sun;2;13;KSBetula1;1
2019-08-07;2019;Aug;8;219;KS;Betula;1;sun;3;12.1;KSBetula1;1
2019-08-07;2019;Aug;8;219;KS;Betula;1;sun;4;13.4;KSBetula1;1
2019-08-07;2019;Aug;8;219;KS;Betula;1;sun;5;13.1;KSBetula1;1
2019-08-07;2019;Aug;8;219;KS;Betula;1;shadow;6;15.9;KSBetula1;1
2019-08-07;2019;Aug;8;219;KS;Betula;1;shadow;7;14.1;KSBetula1;1
2019-08-07;2019;Aug;8;219;KS;Betula;1;shadow;8;10.4;KSBetula1;1
2019-08-07;2019;Aug;8;219;KS;Betula;1;shadow;9;14.4;KSBetula1;1
2019-08-07;2019;Aug;8;219;KS;Betula;1;shadow;10;12.8;KSBetula1;1
2019-08-21;2019;Aug;8;233;KS;Betula;1;sun;1;13.9;KSBetula1;1
2019-08-21;2019;Aug;8;233;KS;Betula;1;sun;2;15.3;KSBetula1;1
2019-08-21;2019;Aug;8;233;KS;Betula;1;sun;3;18.3;KSBetula1;1
2019-08-21;2019;Aug;8;233;KS;Betula;1;sun;4;12.1;KSBetula1;1
2019-08-21;2019;Aug;8;233;KS;Betula;1;sun;5;13.3;KSBetula1;1
2019-08-21;2019;Aug;8;233;KS;Betula;1;shadow;6;7.9;KSBetula1;1
2019-08-21;2019;Aug;8;233;KS;Betula;1;shadow;7;13.6;KSBetula1;1
2019-08-21;2019;Aug;8;233;KS;Betula;1;shadow;8;9.9;KSBetula1;1
2019-08-21;2019;Aug;8;233;KS;Betula;1;shadow;9;16.3;KSBetula1;1
2019-08-21;2019;Aug;8;233;KS;Betula;1;shadow;10;16.5;KSBetula1;1
2019-09-03;2019;Sep;9;246;KS;Betula;1;sun;1;11.3;KSBetula1;1
2019-09-03;2019;Sep;9;246;KS;Betula;1;sun;2;11.8;KSBetula1;1
2019-09-03;2019;Sep;9;246;KS;Betula;1;sun;3;11.4;KSBetula1;1
2019-09-03;2019;Sep;9;246;KS;Betula;1;sun;4;12.7;KSBetula1;1
2019-09-03;2019;Sep;9;246;KS;Betula;1;sun;5;8.1;KSBetula1;1
2019-09-03;2019;Sep;9;246;KS;Betula;1;shadow;6;14.2;KSBetula1;1
2019-09-03;2019;Sep;9;246;KS;Betula;1;shadow;7;14.8;KSBetula1;1
2019-09-03;2019;Sep;9;246;KS;Betula;1;shadow;8;14.5;KSBetula1;1
2019-09-03;2019;Sep;9;246;KS;Betula;1;shadow;9;17.4;KSBetula1;1
2019-09-03;2019;Sep;9;246;KS;Betula;1;shadow;10;19.5;KSBetula1;1
2019-09-18;2019;Sep;9;261;KS;Betula;1;sun;1;13.3;KSBetula1;1
2019-09-18;2019;Sep;9;261;KS;Betula;1;sun;2;10.6;KSBetula1;1
2019-09-18;2019;Sep;9;261;KS;Betula;1;sun;3;13.9;KSBetula1;1
2019-09-18;2019;Sep;9;261;KS;Betula;1;sun;4;11.9;KSBetula1;1
2019-09-18;2019;Sep;9;261;KS;Betula;1;sun;5;17.4;KSBetula1;1
2019-09-18;2019;Sep;9;261;KS;Betula;1;shadow;6;22.8;KSBetula1;1
2019-09-18;2019;Sep;9;261;KS;Betula;1;shadow;7;15.8;KSBetula1;1
2019-09-18;2019;Sep;9;261;KS;Betula;1;shadow;8;12.8;KSBetula1;1
2019-09-18;2019;Sep;9;261;KS;Betula;1;shadow;9;14.6;KSBetula1;1
2019-09-18;2019;Sep;9;261;KS;Betula;1;shadow;10;12.4;KSBetula1;1
2019-10-02;2019;Oct;10;275;KS;Betula;1;sun;1;9.1;KSBetula1;1
2019-10-02;2019;Oct;10;275;KS;Betula;1;sun;2;13.9;KSBetula1;1
2019-10-02;2019;Oct;10;275;KS;Betula;1;sun;3;10.5;KSBetula1;1
2019-10-02;2019;Oct;10;275;KS;Betula;1;sun;4;12.3;KSBetula1;1
2019-10-02;2019;Oct;10;275;KS;Betula;1;sun;5;8.4;KSBetula1;1
2019-10-02;2019;Oct;10;275;KS;Betula;1;shadow;6;10.3;KSBetula1;1
2019-10-02;2019;Oct;10;275;KS;Betula;1;shadow;7;12.6;KSBetula1;1
2019-10-02;2019;Oct;10;275;KS;Betula;1;shadow;8;13.1;KSBetula1;1
2019-10-02;2019;Oct;10;275;KS;Betula;1;shadow;9;10.7;KSBetula1;1
2019-10-02;2019;Oct;10;275;KS;Betula;1;shadow;10;10.7;KSBetula1;1
2019-10-16;2019;Oct;10;289;KS;Betula;1;sun;1;6;KSBetula1;1
2019-10-16;2019;Oct;10;289;KS;Betula;1;sun;2;10.5;KSBetula1;1
2019-10-16;2019;Oct;10;289;KS;Betula;1;sun;3;15.2;KSBetula1;1
2019-10-16;2019;Oct;10;289;KS;Betula;1;sun;4;11.9;KSBetula1;1
2019-10-16;2019;Oct;10;289;KS;Betula;1;sun;5;10.8;KSBetula1;1
2019-10-16;2019;Oct;10;289;KS;Betula;1;shadow;6;11.1;KSBetula1;1
2019-10-16;2019;Oct;10;289;KS;Betula;1;shadow;7;16.4;KSBetula1;1
2019-10-16;2019;Oct;10;289;KS;Betula;1;shadow;8;11;KSBetula1;1
2019-10-16;2019;Oct;10;289;KS;Betula;1;shadow;9;14.9;KSBetula1;1
2019-10-16;2019;Oct;10;289;KS;Betula;1;shadow;10;10.7;KSBetula1;1
2019-10-30;2019;Oct;10;303;KS;Betula;1;sun;1;10.4;KSBetula1;1
2019-10-30;2019;Oct;10;303;KS;Betula;1;sun;2;14.6;KSBetula1;1
2019-10-30;2019;Oct;10;303;KS;Betula;1;sun;3;10.2;KSBetula1;1
2019-10-30;2019;Oct;10;303;KS;Betula;1;sun;4;13.4;KSBetula1;1
2019-10-30;2019;Oct;10;303;KS;Betula;1;sun;5;15.6;KSBetula1;1
2019-10-30;2019;Oct;10;303;KS;Betula;1;shadow;6;6.2;KSBetula1;1
2019-10-30;2019;Oct;10;303;KS;Betula;1;shadow;7;10.2;KSBetula1;1
2019-10-30;2019;Oct;10;303;KS;Betula;1;shadow;8;14.4;KSBetula1;1
2019-10-30;2019;Oct;10;303;KS;Betula;1;shadow;9;10;KSBetula1;1
2019-10-30;2019;Oct;10;303;KS;Betula;1;shadow;10;12;KSBetula1;1
2019-11-13;2019;Nov;11;317;KS;Betula;1;sun;1;4.7;KSBetula1;1
2019-11-13;2019;Nov;11;317;KS;Betula;1;sun;2;3.3;KSBetula1;1
2019-11-13;2019;Nov;11;317;KS;Betula;1;sun;3;4.9;KSBetula1;1
2019-11-13;2019;Nov;11;317;KS;Betula;1;sun;4;3.5;KSBetula1;1
